Amazoness Fighter,Effect Monster,1500,1300
Amazoness Paladin,Effect Monster,1700,300
Amazoness Pet Liger,Fusion Monster,2500,2400
Amazoness Queen,Effect Monster,2400,1800
Amazoness Sage,Effect Monster,1400,700
Amazoness Scouts,Effect Monster,500,1100
Amazoness Tiger,Effect Monster,1100,1500
Ambitious Gofer,Effect Monster,2400,100
Ambulanceroid,Effect Monster,300,1200
Amores of Prophecy,Effect Monster,600,2000
Amorphage Envy,Pendulum Effect Monster,0,2050
Amorphage Gluttony,Pendulum Effect Monster,0,1850
Amorphage Goliath,Pendulum Effect Monster,2750,0
Amorphage Greed,Pendulum Effect Monster,0,1950
Amorphage Lechery,Pendulum Effect Monster,1350,0
Amorphage Pride,Pendulum Effect Monster,1750,0
Amorphage Sloth,Pendulum Effect Monster,2250,0
Amphibian Beast,Normal Monster,2400,2000
Amphibious Bugroth,Fusion Monster,1850,1300
Amphibious Bugroth MK-3,Effect Monster,1500,1300
Amulet Dragon,Fusion Monster,2900,2500
An Owl of Luck,Flip Effect Monster,300,500
Anarchist Monk Ranshin,Effect Monster,1800,100
Ancient Brain,Normal Monster,1000,700
Ancient Crimson Ape,Effect Monster,2600,1800
Ancient Dragon,Effect Monster,1400,1300
Ancient Fairy Dragon,Synchro Monster,2100,3000
Ancient Flamvell Deity,Synchro Monster,2500,200
Ancient Gear,Effect Monster,100,800
Ancient Gear Beast,Effect Monster,2000,2000
Ancient Gear Box,Effect Monster,500,2000
Ancient Gear Engineer,Effect Monster,1500,1500
Ancient Gear Gadget,Effect Monster,500,2000
Ancient Gear Gadjiltron Dragon,Effect Monster,3000,2000
Ancient Gear Golem,Effect Monster,3000,3000
Ancient Gear Howitzer,Fusion Monster,1000,1800
Ancient Gear Hunting Hound,Effect Monster,1000,1000
Ancient Gear Knight,Gemini Monster,1800,500
Ancient Gear Reactor Dragon,Effect Monster,3000,3000
Ancient Gear Soldier,Effect Monster,1300,1300
Ancient Gear Wyvern,Effect Monster,1700,1200
Ancient Jar,Normal Monster,400,200
Ancient Lamp,Effect Monster,900,1400
Ancient Lizard Warrior,Normal Monster,1400,1100
Ancient One of the Deep Forest,Normal Monster,1800,1900
Ancient Pixie Dragon,Synchro Monster,2100,3000
Ancient Sacred Wyvern,Synchro Monster,2100,2000
Ancient Sorcerer,Normal Monster,1000,1300
Ancient Tool,Normal Monster,1700,1400
Andro Sphinx,Effect Monster,3000,2500
Angel O7,Effect Monster,2500,1500
Angel of Zera,Synchro Monster,2800,2300
Ansatsu,Normal Monster,1700,1200
Anteatereatingant,Effect Monster,2000,500
Anthrosaurus,Normal Monster,1000,850
Anti-Aircraft Flower,Effect Monster,0,1600
Ape Fighter,Effect Monster,1900,1200
Ape Magician,Effect Monster,800,1200
Apocatequil,Effect Monster,1800,1200
Apoqliphort Skybase,Effect Monster,2900,2500
Apoqliphort Towers,Effect Monster,3000,2600
Apple Magician Girl,Effect Monster,1200,800
Apprentice Illusion Magician,Effect Monster,2000,1700
Apprentice Magician,Effect Monster,400,800
Apprentice Piper,Flip Effect Monster,100,1500
Aqua Snake,Normal Monster,1050,900
Aqua Spirit,Effect Monster,1600,1200
Aquaactress Guppy,Effect Monster,600,600
Aquaactress Tetra,Effect Monster,300,300
Aquarian Alessa,Gemini Monster,1500,500
Aratama,Spirit Monster,800,1800
Arcana Force 0 - The Fool,Effect Monster,0,0
Arcana Force EX - The Dark Ruler,Effect Monster,4000,4000
Arcana Force EX - The Light Ruler,Effect Monster,4000,4000
Arcana Force I - The Magician,Effect Monster,1100,1100
Arcana Force III - The Empress,Effect Monster,1300,1300
Arcana Force IV - The Emperor,Effect Monster,1400,1400
Arcana Force VII - The Chariot,Effect Monster,1700,1700
Arcana Force XIV - Temperance,Effect Monster,2400,2400
Arcana Force XXI - The World,Effect Monster,3100,3100
Arcana Knight Joker,Fusion Monster,3800,2500
Arcana Knight Joker,Fusion Monster,3800,2500
Arcane Apprentice,Tuner Monster,1000,400
Arcane Archer of the Forest,Effect Monster,900,1400
Arcanite Magician,Synchro Monster,400,1800
Archfiend Black Skull Dragon,Fusion Monster,3200,2500
Archfiend Commander,Effect Monster,2500,1200
Archfiend Eccentrick,Pendulum Effect Monster,800,1000
Archfiend Empress,Effect Monster,2900,2100
Archfiend General,Effect Monster,2100,800
Archfiend Heiress,Effect Monster,1000,0
Archfiend Interceptor,Effect Monster,1400,1600
Archfiend Marmot of Nefariousness,Normal Monster,400,600
Archfiend Mirror,Normal Monster,700,600
Archfiend of Gilfer,Effect Monster,2200,2500
Archfiend Soldier,Normal Monster,1900,1500
Archfiend Zombie-Skull,Synchro Monster,2500,1200
Archlord Kristya,Effect Monster,2800,2300
Archlord Zerato,Effect Monster,2800,2300
Aria the Melodious Diva,Effect Monster,1600,1200
Arisen Gaia the Fierce Knight,Effect Monster,2300,2100
Arkbrave Dragon,Effect Monster,2400,2000
Arlownay,Normal Monster,800,1000
Arma Knight,Normal Monster,1000,1200
Armageddon Knight,Effect Monster,1400,1200
Armaill,Normal Monster,700,1300
Armed Dragon LV10,Effect Monster,3000,2000
Armed Dragon LV3,Effect Monster,1200,900
Armed Dragon LV5,Effect Monster,2400,1700
Armed Dragon LV7,Effect Monster,2800,1000
Armed Ninja,Flip Effect Monster,300,300
Armed Protector Dragon,Effect Monster,2000,2800
Armed Samurai - Ben Kei,Effect Monster,500,800
Armed Sea Hunter,Effect Monster,1800,400
Armityle the Chaos Phantom,Fusion Monster,0,0
Armor Exe,Effect Monster,2400,1400
Armored Axon Kicker,Effect Monster,2200,1800
Armored Cybern,Union Effect Monster,0,2000
Armored Kappa,XYZ Monster,400,1000
Armored Lizard,Normal Monster,1500,1200
Armored Rat,Normal Monster,950,1100
Armored Starfish,Normal Monster,850,1400
Armored Zombie,Normal Monster,1500,0
Armoroid,Effect Monster,2700,2000
Armory Arm,Synchro Monster,1800,1200
Aroma Jar,Flip Effect Monster,500,400
Aromage Cananga,Effect Monster,1400,1000
Aromage Rosemary,Effect Monster,1800,700
Aromaseraphy Angelica,Tuner Monster,0,0
Aromaseraphy Rosemary,Synchro Monster,2000,900
Arsenal Bug,Effect Monster,2000,2000
Artifact Achilleshield,Effect Monster,1500,2200
Artifact Beagalltach,Effect Monster,1400,2100
Artifact Chakram,Effect Monster,1900,2000
Artifact Durendal,XYZ Monster,2400,2100
Artifact Failnaught,Effect Monster,2000,1600
Artifact Labrys,Effect Monster,2300,1000
Artifact Lancea,Effect Monster,1700,2300
Artifact Scythe,Effect Monster,2200,900
Artifact Vajra,Effect Monster,1800,1900
Ascension Sky Dragon,Synchro Monster,0,3000
Ash Blossom & Joyous Spring,Tuner Monster,0,1800
Assault Beast,Effect Monster,1900,1200
Assault Blackwing - Chidori the Rain Sprinkling,Synchro Monster,2600,2000
Assault Blackwing - Kunai the Drizzle,Effect Monster,2100,1600
Assault Blackwing - Raikiri the Rain Shower,Synchro Monster,2600,2000
Assault Blackwing - Sayo the Rain Hider,Synchro Monster,800,100
Assault Blackwing - Sohaya the Rain Storm,Synchro Monster,1500,2000
Assault Dog,Effect Monster,1200,800
Assault Mercenary,Effect Monster,1800,300
Assault Wyvern,Effect Monster,1800,1100
Asura Priest,Spirit Monster,1700,1200
Athena,Effect Monster,2600,800
Atlantean Attack Squad,Effect Monster,1400,0
Atlantean Dragoons,Effect Monster,1800,0
Atlantean Heavy Infantry,Effect Monster,0,1600
Atlantean Marksman,Effect Monster,1400,0
Atlantean Pikeman,Normal Monster,1400,0
A-to-Z-Dragon Buster Cannon,Fusion Monster,4000,4000
Attack Gainer,Tuner Monster,0,0
Aurora Paragon,Effect Monster,1500,1000
Aurora Wing,Effect Monster,1200,1600
Aussa the Earth Charmer,Flip Effect Monster,500,1500
Avalanching Aussa,Effect Monster,800,1500
Avenging Knight Parshath,Synchro Monster,2600,2100
Axe Raider,Normal Monster,1700,1150
Aye-Iron,Effect Monster,1600,1800
Azure-Eyes Silver Dragon,Synchro Monster,2500,3000
B. Skull Dragon,Fusion Monster,3200,2500
B.E.S. Big Core MK-2,Effect Monster,2400,1100
B.E.S. Covered Core,Effect Monster,2500,800
B.E.S. Crystal Core,Effect Monster,2100,1000
B.E.S. Tetran,Effect Monster,1800,2300
Baby Raccoon Tantan,Flip Effect Monster,0,800
Baby Tiragon,XYZ Monster,900,900
Babycerasaurus,Effect Monster,500,500
Backup Warrior,Effect Monster,2100,0
Bahamut Shark,XYZ Monster,2600,2100
Balloon Lizard,Effect Monster,500,1900
Banisher of the Light,Effect Monster,100,2000
Barox,Fusion Monster,1380,1530
Barrel Lily,Normal Monster,1100,600
Barrel Rock,Normal Monster,1000,1300
Barrier Statue of the Abyss,Effect Monster,1000,1000
Barrier Statue of the Drought,Effect Monster,1000,1000
Barrier Statue of the Heavens,Effect Monster,1000,1000
Barrier Statue of the Inferno,Effect Monster,1000,1000
Barrier Statue of the Stormwinds,Effect Monster,1000,1000
Barrier Statue of the Torrent,Effect Monster,1000,1000
Bat,Normal Monster,300,350
Batteryman 9-Volt,Effect Monster,1000,1000
Batteryman AA,Effect Monster,0,0
Batteryman AAA,Effect Monster,0,0
Batteryman C,Effect Monster,0,0
Batteryman D,Effect Monster,0,1900
Batteryman Fuel Cell,Effect Monster,2100,0
Batteryman Industrial Strength,Effect Monster,2600,0
Batteryman Micro-Cell,Flip Effect Monster,100,100
Battle Fader,Effect Monster,0,0
Battle Footballer,Normal Monster,1000,2100
Battle Ox,Normal Monster,1700,1000
Battle Steer,Normal Monster,1800,1300
Battle Warrior,Normal Monster,700,1000
Battlecruiser Dianthus,XYZ Monster,2100,1800
Battleguard King,Effect Monster,3000,1100
Battlestorm,Effect Monster,1700,1000
Battlin' Boxer Cheat Commissioner,XYZ Monster,0,1300
Battlin' Boxer Counterpunch,Effect Monster,0,1100
Battlin' Boxer Glassjaw,Effect Monster,2000,0
Battlin' Boxer Lead Yoke,XYZ Monster,2200,2000
Battlin' Boxer Rabbit Puncher,Effect Monster,800,1000
Battlin' Boxer Rib Gardna,Effect Monster,100,1400
Battlin' Boxer Shadow,Effect Monster,1800,1400
Battlin' Boxer Sparrer,Effect Monster,1200,1400
Battlin' Boxer Switchitter,Effect Monster,1500,1400
Battlin' Boxer Veil,Effect Monster,0,1800
Bazoo the Soul-Eater,Effect Monster,1600,900
B-Buster Drake,Union Effect Monster,1500,1800
Beaked Snake,Normal Monster,800,900
Beast Machine King Barbaros Ür,Effect Monster,3800,1200
Beast of Talwar,Normal Monster,2400,2150
Beast Striker,Effect Monster,1850,400
Beast-Eyes Pendulum Dragon,Fusion Monster,3000,2000
Beautiful Beast Trainer,Normal Monster,1750,1500
Beautiful Headhuntress,Normal Monster,1600,800
Beautunaful Princess,Effect Monster,0,0
Beaver Warrior,Normal Monster,1200,1500
Bee List Soldier,Effect Monster,500,400
Beelze Frog,Effect Monster,1200,800
Beelze of the Diabolic Dragons,Synchro Monster,3000,3000
Beelzeus of the Diabolic Dragons,Synchro Monster,4000,4000
Beetron,Effect Monster,1600,900
Beginning Knight,Effect Monster,500,2000
Behemoth the King of All Animals,Effect Monster,2700,1500
Belial - Marquis of Darkness,Effect Monster,2800,2400
Berfomet,Effect Monster,1400,1800
Berry Magician Girl,Effect Monster,400,400
Berserk Gorilla,Effect Monster,2000,1000
Berserkion the Electromagna Warrior,Effect Monster,3000,2800
Beta the Magnet Warrior,Normal Monster,1700,1600
Bickuribox,Fusion Monster,2300,2000
Bicorn Re'em,Effect Monster,800,1600
Big Belly Knight,Effect Monster,1000,1600
Big Eye,Flip Effect Monster,1200,1000
Big Insect,Normal Monster,1200,1500
Big Jaws,Effect Monster,1800,300
Big Koala,Normal Monster,2700,2000
Big Piece Golem,Effect Monster,2100,0
Big Shield Gardna,Effect Monster,100,2600
Big Whale,Effect Monster,1000,3000
Big-Tusked Mammoth,Effect Monster,2000,1000
Binding Chain,Normal Monster,1000,1100
Bio Plant,Normal Monster,600,1300
Biofalcon,Effect Monster,1700,1200
Bio-Mage,Normal Monster,1150,1000
Bird of Roses,Effect Monster,1800,1500
Birdface,Effect Monster,1600,1600
Bite Shoes,Flip Effect Monster,500,300
Bitelon,Effect Monster,2400,1000
Black Brachios,Effect Monster,1800,1100
Black Dragon Collapserpent,Effect Monster,1800,1700
Black Dragon Ninja,Effect Monster,2800,1600
Black Luster Soldier,Ritual Monster,3000,2500
Black Luster Soldier - Envoy of the Beginning,Effect Monster,3000,2500
Black Luster Soldier - Envoy of the Evening Twilight,Effect Monster,3000,2500
Black Luster Soldier - Super Soldier,Ritual Effect Monster,3000,2500
Black Potan,Effect Monster,200,100
Black Ray Lancer,XYZ Monster,2100,600
Black Rose Dragon,Synchro Monster,2400,1800
Black Rose Moonlight Dragon,Synchro Monster,2400,1800
Black Salvo,Tuner Monster,100,1100
Black Stego,Effect Monster,1200,2000
Black Tyranno,Effect Monster,2600,1800
Black Veloci,Effect Monster,1800,300
Blackfeather Darkrage Dragon,Synchro Monster,2800,1600
Blackwing - Abrolhos the Megaquake,Effect Monster,2600,1800
Blackwing - Aurora the Northern Lights,Effect Monster,0,0
Blackwing - Blizzard the Far North,Tuner Monster,1300,0
Blackwing - Bora the Spear,Effect Monster,1700,800
Blackwing - Boreas the Sharp,Effect Monster,1300,900
Blackwing - Brisote the Tailwind,Effect Monster,1200,1800
Blackwing - Damascus the Polar Night,Effect Monster,1300,700
Blackwing - Decay the Ill Wind,Tuner Monster,1000,1000
Blackwing - Elphin the Raven,Effect Monster,2200,1200
Blackwing - Fane the Steel Chain,Effect Monster,500,800
Blackwing - Gale the Whirlwind,Tuner Monster,1300,400
Blackwing - Ghibli the Searing Wind,Effect Monster,0,1600
Blackwing - Gladius the Midnight Sun,Effect Monster,800,1500
Blackwing - Gofu the Vague Shadow,Tuner Monster,0,0
Blackwing - Gram the Shining Star,Synchro Monster,2200,1500
Blackwing - Gust the Backblast,Effect Monster,900,1400
Blackwing - Harmattan the Dust,Effect Monster,800,800
Blackwing - Hillen the Tengu-wind,Tuner Monster,0,2300
Blackwing - Hurricane the Tornado,Tuner Monster,0,0
Blackwing - Jin the Rain Shadow,Tuner Monster,600,500
Blackwing - Kochi the Daybreak,Tuner Monster,700,1500
Blackwing - Kogarashi the Wanderer,Tuner Monster,2300,1600
Blackwing - Mistral the Silver Shield,Tuner Monster,100,1800
Blackwing - Oroshi the Squall,Tuner Monster,400,600
Blackwing - Pinaki the Waxing Moon,Tuner Monster,1200,1000
Blackwing - Shura the Blue Flame,Effect Monster,1800,1200
Blackwing - Silverwind the Ascendant,Synchro Monster,2800,2000
Blackwing - Sirocco the Dawn,Effect Monster,2000,900
Blackwing - Steam the Cloak,Tuner Monster,800,1200
Blackwing - Tornado the Reverse Wind,Effect Monster,1000,1200
Blackwing - Vayu the Emblem of Honor,Tuner Monster,800,0
Blackwing - Zephyros the Elite,Effect Monster,1600,1000
Blackwing Armed Wing,Synchro Monster,2300,1000
Blackwing Armor Master,Synchro Monster,2500,1500
Black-Winged Dragon,Synchro Monster,2800,1600
Blade Bounzer,Effect Monster,1800,1400
Blade Knight,Effect Monster,1600,1000
Blade Rabbit,Effect Monster,400,300
Blade Skater,Normal Monster,1400,1500
Bladefly,Effect Monster,600,700
Blast Asmodian,Effect Monster,1000,300
Blast Juggler,Effect Monster,800,900
Blast Magician,Effect Monster,1400,1700
Blast Sphere,Effect Monster,1400,1400
Blazewing Butterfly,Gemini Monster,1500,1500
Blazing Inpachi,Normal Monster,1850,0
Blindly Loyal Goblin,Effect Monster,1800,1500
Blizzard Dragon,Effect Monster,1800,1000
Blizzard Falcon,Effect Monster,1500,1500
Blizzard Princess,Effect Monster,2800,2100
Blizzard Thunderbird,Effect Monster,1600,1400
Block Golem,Effect Monster,1000,1500
Blocker,Normal Monster,850,1800
Blockman,Effect Monster,1000,1500
Blood Mefist,Synchro Monster,2800,1300
Bloom Prima the Melodious Choir,Fusion Monster,1900,2000
Blowback Dragon,Effect Monster,2300,1200
Blue Dragon Ninja,Effect Monster,2100,1200
Blue Dragon Summoner,Effect Monster,1500,600
Blue Duston,Effect Monster,0,1000
Blue Flame Swordsman,Effect Monster,1800,1600
Blue Mountain Butterspy,Effect Monster,0,1700
Blue Thunder T-45,Effect Monster,1700,1000
Blue-Blooded Oni,Effect Monster,1000,1700
Blue-Eyed Silver Zombie,Normal Monster,900,700
Blue-Eyes Alternative White Dragon,Effect Monster,3000,2500
Blue-Eyes Chaos MAX Dragon,Ritual Effect Monster,4000,0
Blue-Eyes Shining Dragon,Effect Monster,3000,2500
Blue-Eyes Spirit Dragon,Synchro Monster,2500,3000
Blue-Eyes Toon Dragon,Toon Monster,3000,2500
Blue-Eyes Twin Burst Dragon,Fusion Monster,3000,2500
Blue-Eyes Ultimate Dragon,Fusion Monster,4500,3800
Blue-Eyes Ultimate Dragon,Fusion Monster,4500,3800
Blue-Winged Crown,Normal Monster,1600,1200
Boar Soldier,Effect Monster,2000,500
Bokoichi the Freightening Car,Normal Monster,500,500
Bolt Escargot,Normal Monster,1400,1500
Bolt Penguin,Normal Monster,1100,800
Bombardment Beetle,Flip Effect Monster,400,900
Bone Crusher,Effect Monster,1600,200
Bone Mouse,Normal Monster,400,300
Boneheimer,Normal Monster,850,400
Bonfire Colossus,Effect Monster,2600,2200
Boo Koo,Normal Monster,650,500
Boot-Up Soldier - Dread Dynamo,Effect Monster,0,2000
Botanical Lion,Effect Monster,1600,2000
Boulder Tortoise,Normal Monster,1450,2200
Bountiful Artemis,Effect Monster,1600,1700
Bowganian,Effect Monster,1300,1000
BOXer,Effect Monster,1800,1000
Bracchio-raidus,Fusion Monster,2200,2000
Brain Golem,Effect Monster,2500,1800
Brain Jacker,Flip Effect Monster,200,900
Brave Scizzar,Normal Monster,1300,1000
Breaker the Dark Magical Warrior,Effect Monster,1600,1000
Breaker the Magical Warrior,Effect Monster,1600,1000
Bri Synchron,Tuner Monster,1500,1100
Bright Star Dragon,Effect Monster,1900,1000
Brotherhood of the Fire Fist - Bear,Effect Monster,1600,1200
Brotherhood of the Fire Fist - Boar,Tuner Monster,1100,1400
Brotherhood of the Fire Fist - Cardinal,XYZ Monster,1800,2200
Brotherhood of the Fire Fist - Coyote,Effect Monster,2000,500
Brotherhood of the Fire Fist - Dragon,Effect Monster,1800,400
Brotherhood of the Fire Fist - Gorilla,Effect Monster,1600,1000
Brotherhood of the Fire Fist - Hawk,Effect Monster,200,1500
Brotherhood of the Fire Fist - Horse Prince,Synchro Monster,2200,2200
Brotherhood of the Fire Fist - Kirin,Synchro Monster,2000,2800
Brotherhood of the Fire Fist - Leopard,Effect Monster,0,200
Brotherhood of the Fire Fist - Lion Emperor,XYZ Monster,2200,200
Brotherhood of the Fire Fist - Raven,Effect Monster,200,1800
Brotherhood of the Fire Fist - Rhino,Effect Monster,1700,1400
Brotherhood of the Fire Fist - Rooster,Effect Monster,1500,100
Brotherhood of the Fire Fist - Snake,Effect Monster,1800,600
Brotherhood of the Fire Fist - Spirit,Tuner Monster,500,200
Brotherhood of the Fire Fist - Swallow,Effect Monster,2000,800
Brushfire Knight,Effect Monster,1400,1200
Bubonic Vermin,Flip Effect Monster,900,600
Bujin Arasuda,Effect Monster,1600,1900
Bujin Hirume,Effect Monster,2000,1000
Bujin Mikazuchi,Effect Monster,1900,1500
Bujin Yamato,Effect Monster,1800,200
Bujingi Boar,Effect Monster,1100,1900
Bujingi Centipede,Effect Monster,1700,500
Bujingi Crane,Effect Monster,1600,300
Bujingi Fox,Effect Monster,200,2100
Bujingi Hare,Effect Monster,1700,500
Bujingi Ibis,Effect Monster,1600,300
Bujingi Pavo,Effect Monster,1700,800
Bujingi Peacock,Effect Monster,1800,700
Bujingi Quilin,Effect Monster,1600,900
Bujingi Raven,Effect Monster,1600,900
Bujingi Sinyou,Effect Monster,1500,1000
Bujingi Turtle,Effect Monster,1700,1200
Bujingi Wolf,Effect Monster,1100,2000
Bujinki Amaterasu,XYZ Monster,2600,2500
Bujintei Kagutsuchi,XYZ Monster,2500,2000
Bujintei Susanowo,XYZ Monster,2400,1600
Bujintei Tsukuyomi,XYZ Monster,1800,2300
Bull Blader,Effect Monster,1600,1200
Bunilla,Normal Monster,150,2050
Burglar,Normal Monster,850,800
Burning Algae,Effect Monster,500,1500
Burning Beast,Union Effect Monster,1500,1000
Burning Skull Head,Effect Monster,1000,800
Buster Blaster,Union Effect Monster,0,0
Buster Dragon,Synchro Monster,1200,2800
Buster Gundil the Cubic Behemoth,Effect Monster,0,0
Buster Whelp of the Destruction Swordsman,Tuner Monster,400,300
Byser Shock,Effect Monster,800,600
Cactus Bouncer,Effect Monster,1800,300
Cactus Fighter,Effect Monster,1900,400
Caius the Mega Monarch,Effect Monster,2800,1000
Caius the Shadow Monarch,Effect Monster,2400,1000
Caligo Claw Crow,Effect Monster,900,600
Cameraclops,Effect Monster,1400,1600
Candle of Fate,Normal Monster,600,600
Caninetaur,Effect Monster,1500,200
Cannon Soldier,Effect Monster,1400,1300
Cannon Soldier MK-2,Effect Monster,1900,1200
Cannonball Spear Shellfish,Effect Monster,1000,1000
Canon the Melodious Diva,Effect Monster,1400,2000
Cú Chulainn the Awakened,Ritual Effect Monster,500,1000
Caravan of the Ice Barrier,Effect Monster,500,200
Carboneddon,Effect Monster,800,600
Card Blocker,Effect Monster,400,400
Card Breaker,Effect Monster,100,900
Card Ejector,Effect Monster,400,400
Card Guard,Effect Monster,1600,500
Cardcar D,Effect Monster,800,400
Carrierroid,Effect Monster,1000,800
Castle Gate,Effect Monster,0,2400
Castle of Dark Illusions,Flip Effect Monster,920,1930
Catapult Turtle,Effect Monster,1000,2000
Catapult Warrior,Synchro Monster,1000,1500
Catoblepas and the Witch of Fate,Effect Monster,1800,0
Cave Dragon,Effect Monster,2000,100
C-Crush Wyvern,Union Effect Monster,1200,2000
Celtic Guard of Noble Arms,Effect Monster,2100,700
Ceremonial Bell,Effect Monster,0,1850
Chain Resonator,Tuner Monster,100,100
Chainsaw Insect,Effect Monster,2400,0
Chakra,Ritual Monster,2450,2000
Chamberlain of the Six Samurai,Normal Monster,200,2000
Change Slime,Normal Monster,400,300
Changer Synchron,Tuner Monster,0,0
Chaos Ancient Gear Giant,Fusion Monster,4500,3000
Chaos Command Magician,Effect Monster,2400,1900
Chaos Goddess,Synchro Monster,2500,1800
Chaos King Archfiend,Synchro Monster,2600,2600
Chaos Necromancer,Effect Monster,0,0
Chaos Sorcerer,Effect Monster,2300,2000
Chaos-End Master,Tuner Monster,1500,1000
Chaosrider Gustaph,Effect Monster,1400,1500
Charcoal Inpachi,Normal Monster,100,2100
Charging Gaia the Fierce Knight,Effect Monster,2300,2100
Charioteer of Prophecy,Effect Monster,1800,1300
Charm of Shabti,Effect Monster,100,100
Charming Resort Staff,Effect Monster,300,200
Charubin the Fire Knight,Fusion Monster,1100,800
Cheepcheepcheep,Effect Monster,300,200
Chemicritter Hydron Hawk,Gemini Monster,1400,700
Chemicritter Oxy Ox,Gemini Monster,0,2100
Cherry Inmato,Tuner Monster,700,400
Chevalier de Fleur,Synchro Monster,2700,2300
Chewbone,Flip Effect Monster,300,300
Chimera the Flying Mythical Beast,Fusion Monster,2100,1800
Chimeratech Fortress Dragon,Fusion Monster,0,0
Chimeratech Overdragon,Fusion Monster,0,0
Chiron the Mage,Effect Monster,1800,1000
Chocolate Magician Girl,Effect Monster,1600,1000
Chopman the Desperate Outlaw,Effect Monster,1100,500
Chronomaly Cabrera Trebuchet,Effect Monster,0,1800
Chronomaly Colossal Head,Effect Monster,800,1600
Chronomaly Crystal Bones,Effect Monster,1300,400
Chronomaly Crystal Skull,Effect Monster,900,600
Chronomaly Golden Jet,Effect Monster,1300,1400
Chronomaly Gordian Knot,Effect Monster,300,900
